site,partition,x_m,y_m,feature_1,feature_2,lidar_metric
source_forest,training,0,0,0.0,0.0,0.0
source_forest,training,50,0,1.0,0.0,2.0
source_forest,training,100,0,2.0,0.0,4.0
source_forest,training,150,0,3.0,0.0,6.0
source_forest,training,0,50,0.0,1.0,-1.0
source_forest,training,50,50,1.0,1.0,1.0
source_forest,training,100,50,2.0,1.0,3.0
source_forest,training,150,50,3.0,1.0,5.0
source_forest,training,0,100,0.0,2.0,-2.0
source_forest,training,50,100,1.0,2.0,0.0
source_forest,training,100,100,2.0,2.0,2.0
source_forest,training,150,100,3.0,2.0,4.0
target_forest,reference,0,0,0.5,0.0,6.0
target_forest,reference,150,0,3.5,0.0,12.0
target_forest,reference,0,150,0.5,3.0,3.0
target_forest,reference,150,150,3.5,3.0,9.0
target_forest,test,50,0,1.5,0.0,8.0
target_forest,test,100,0,2.5,0.0,10.0
target_forest,test,50,50,1.5,1.0,7.0
target_forest,test,100,50,2.5,1.0,9.0
target_forest,test,50,100,1.5,2.0,6.0
target_forest,test,100,100,2.5,2.0,8.0
