variant,target,candidate,reference,delta_rmse,ci_low,ci_high,probability_candidate_better,paired_blocks
height_adjusted,canopy_height_kurtosis,tessera,conventional,-0.11323726177215576,-0.18574373960494994,-0.046751810908317586,1.0,350
height_adjusted,canopy_height_kurtosis,fused,conventional,-0.10583028942346573,-0.15600609570741653,-0.0563681572675705,1.0,350
height_adjusted,canopy_height_kurtosis,fused,tessera,0.007406973745673895,-0.022536116242408755,0.03717773556709288,0.38,350
height_adjusted,canopy_open_fraction,tessera,conventional,-0.004086961038410664,-0.005229496108368039,-0.0029279288277029992,1.0,350
height_adjusted,canopy_open_fraction,fused,conventional,-0.004393153358250856,-0.00544080700725317,-0.003326351102441551,1.0,350
height_adjusted,canopy_open_fraction,fused,tessera,-0.00030619202880188823,-0.0008160128723829984,0.00018139868974685646,0.8835,350
height_adjusted,canopy_rumple,tessera,conventional,-0.09074679017066956,-0.10715805366635323,-0.07404171869158746,1.0,350
height_adjusted,canopy_rumple,fused,conventional,-0.09878896176815033,-0.11356432601809502,-0.08297682642936706,1.0,350
height_adjusted,canopy_rumple,fused,tessera,-0.008042174391448498,-0.01433813750743866,-0.0016801330447196975,0.9905,350
height_adjusted,canopy_surface_cv,tessera,conventional,-0.004681415855884552,-0.006103171799331904,-0.0032835098356008533,1.0,350
height_adjusted,canopy_surface_cv,fused,conventional,-0.004841342568397522,-0.006010599285364151,-0.003567236699163914,1.0,350
height_adjusted,canopy_surface_cv,fused,tessera,-0.00015992671251296997,-0.0007483500055968761,0.00048347769305109975,0.695,350
height_adjusted,canopy_surface_rcv,tessera,conventional,-0.011066463775932789,-0.01657490037381649,-0.00519969727844,1.0,350
height_adjusted,canopy_surface_rcv,fused,conventional,-0.009434759616851807,-0.014074328541755677,-0.004896703362464905,1.0,350
height_adjusted,canopy_surface_rcv,fused,tessera,0.0016317039262503386,-0.001859322190284729,0.004898815304040908,0.2255,350
height_adjusted,canopy_surface_sd_m,tessera,conventional,-0.06929387152194977,-0.08663837030529976,-0.05205112785100937,1.0,350
height_adjusted,canopy_surface_sd_m,fused,conventional,-0.07631741464138031,-0.09176280304789543,-0.06201415583491326,1.0,350
height_adjusted,canopy_surface_sd_m,fused,tessera,-0.007023543119430542,-0.01488703742623329,0.0004762922227382583,0.965,350
raw,canopy_height_kurtosis,tessera,conventional,-0.2735607326030731,-0.3632576557993889,-0.17913263857364659,1.0,350
raw,canopy_height_kurtosis,fused,conventional,-0.31090062856674194,-0.37943287134170534,-0.24174365878105167,1.0,350
raw,canopy_height_kurtosis,fused,tessera,-0.03733987733721733,-0.07529168546199799,-0.0008279609680175832,0.9775,350
raw,canopy_open_fraction,tessera,conventional,-0.016236398369073868,-0.02028376594185829,-0.012330324407666923,1.0,350
raw,canopy_open_fraction,fused,conventional,-0.0187228973954916,-0.022400685381144283,-0.015326363779604436,1.0,350
raw,canopy_open_fraction,fused,tessera,-0.0024865015875548124,-0.003781690429896116,-0.0011290626786649243,1.0,350
raw,canopy_p95_height_m,tessera,conventional,-0.10379087924957275,-0.18778884172439575,-0.025063306093215942,0.9945,350
raw,canopy_p95_height_m,fused,conventional,-0.20829132199287415,-0.2770033472776413,-0.13940821349620824,1.0,350
raw,canopy_p95_height_m,fused,tessera,-0.1045004352927208,-0.13929439783096312,-0.06918453693389898,1.0,350
raw,canopy_rumple,tessera,conventional,-0.11087894439697266,-0.13241120740771295,-0.08917790129780773,1.0,350
raw,canopy_rumple,fused,conventional,-0.10318126529455185,-0.12612539216876031,-0.08027029484510423,1.0,350
raw,canopy_rumple,fused,tessera,0.00769767165184021,-0.0002893617749214172,0.015513022989034652,0.0325,350
raw,canopy_surface_cv,tessera,conventional,-0.030294710770249367,-0.03795738309621811,-0.02291271392256022,1.0,350
raw,canopy_surface_cv,fused,conventional,-0.03415445610880852,-0.041004743278026584,-0.027832058891654018,1.0,350
raw,canopy_surface_cv,fused,tessera,-0.003859746502712369,-0.006323036961257458,-0.0015896328166127222,0.999,350
raw,canopy_surface_rcv,tessera,conventional,-0.07291924208402634,-0.09239739798009396,-0.05426213994622233,1.0,350
raw,canopy_surface_rcv,fused,conventional,-0.08429121226072311,-0.10083067238330841,-0.06727974914014341,1.0,350
raw,canopy_surface_rcv,fused,tessera,-0.011371970176696777,-0.017940653041005134,-0.005610208585858348,1.0,350
raw,canopy_surface_sd_m,tessera,conventional,-0.1560620367527008,-0.1942816197872162,-0.12237865507602691,1.0,350
raw,canopy_surface_sd_m,fused,conventional,-0.17157864570617676,-0.20555842995643617,-0.14015695422887806,1.0,350
raw,canopy_surface_sd_m,fused,tessera,-0.0155166145414114,-0.030734153091907503,0.0005844804644584523,0.973,350
