variant,version,model_family,target,folds,n,blocks,rmse,r2,block_spearman,positive_r2_folds
height_adjusted,v1,fused,canopy_height_kurtosis,5,17316,350,1.4090038078826463,0.1119732068176907,0.4929728970530812,5
height_adjusted,v1,fused,canopy_open_fraction,5,17316,350,0.03476919045313753,0.2905637925466613,0.6271539841934046,5
height_adjusted,v1,fused,canopy_rumple,5,17316,350,0.42281789024319816,0.6522157991623061,0.8267923050265338,5
height_adjusted,v1,fused,canopy_surface_cv,5,17316,350,0.04581134454696929,0.2736301185898271,0.6408576998840118,5
height_adjusted,v1,fused,canopy_surface_rcv,5,17316,350,0.20397925085710655,0.16693287594758355,0.5719499023576494,5
height_adjusted,v1,fused,canopy_surface_sd_m,5,17316,350,0.5691848005367827,0.28792059249473756,0.6647260262411543,5
height_adjusted,v1,tessera,canopy_height_kurtosis,5,17316,350,1.3862966109611183,0.14077678279974212,0.4978344545017871,5
height_adjusted,v1,tessera,canopy_open_fraction,5,17316,350,0.035050102840970376,0.2795039255472197,0.6038868774703475,5
height_adjusted,v1,tessera,canopy_rumple,5,17316,350,0.42998094703149714,0.6400542702353449,0.8156970781254019,5
height_adjusted,v1,tessera,canopy_surface_cv,5,17316,350,0.04627999494669097,0.25891965028157254,0.6042461280508724,5
height_adjusted,v1,tessera,canopy_surface_rcv,5,17316,350,0.20420154506685728,0.16225001916706078,0.5450838958660182,5
height_adjusted,v1,tessera,canopy_surface_sd_m,5,17316,350,0.5686833253142873,0.2902350587769331,0.6464123845931622,5
height_adjusted,v2,fused,canopy_height_kurtosis,5,17316,350,1.352654283110772,0.17866274308185365,0.5322343472694987,5
height_adjusted,v2,fused,canopy_open_fraction,5,17316,350,0.033131803223262334,0.3562063994555203,0.6837312131170922,5
height_adjusted,v2,fused,canopy_rumple,5,17316,350,0.41833813824257904,0.6618468285572626,0.8301512633852124,5
height_adjusted,v2,fused,canopy_surface_cv,5,17316,350,0.0440630970599381,0.32819627979780297,0.6648915597335335,5
height_adjusted,v2,fused,canopy_surface_rcv,5,17316,350,0.20888458613472077,0.13118873056364205,0.5026126132436648,5
height_adjusted,v2,fused,canopy_surface_sd_m,5,17316,350,0.540852184099937,0.35823519025107153,0.7122287902132152,5
height_adjusted,v2,tessera,canopy_height_kurtosis,5,17316,350,1.3452473321444436,0.18519655967409804,0.4985140353991442,5
height_adjusted,v2,tessera,canopy_open_fraction,5,17316,350,0.03343799575426907,0.3437964814032566,0.6674450328910562,5
height_adjusted,v2,tessera,canopy_rumple,5,17316,350,0.42638031736673965,0.6478884217480723,0.8303056776267008,5
height_adjusted,v2,tessera,canopy_surface_cv,5,17316,350,0.04422302547727804,0.32365442659004234,0.6492498839304025,5
height_adjusted,v2,tessera,canopy_surface_rcv,5,17316,350,0.20725288445000495,0.14045657128342748,0.5287855592566244,5
height_adjusted,v2,tessera,canopy_surface_sd_m,5,17316,350,0.5478757265101366,0.34228862426673673,0.6749624877731409,5
raw,v1,fused,canopy_height_kurtosis,5,17316,350,1.5204726395331052,0.6163261784890505,0.8851769922627488,5
raw,v1,fused,canopy_open_fraction,5,17316,350,0.052589754563287364,0.7855899127477007,0.919579239480458,5
raw,v1,fused,canopy_p95_height_m,5,17316,350,2.3774255362834738,0.28646256859074404,0.5891899937718502,5
raw,v1,fused,canopy_rumple,5,17316,350,0.46047781187197445,0.5844162337785727,0.760049807519831,5
