model,target,folds,n,blocks,rmse,r2,block_spearman,positive_r2_folds
conventional,lidar_canopy_shannon_50m,5,16831,349,0.14255781169133835,0.10187684965298686,0.3448154762847614,5
conventional,lidar_canopy_shannon_50m_height_adjusted,5,16831,349,0.07376160342802851,0.0010218065999604952,0.27282739911938575,3
conventional,lidar_height_cv_50m,5,16831,349,0.0519811688134598,0.20930682228519054,0.5874198519705145,5
conventional,lidar_height_cv_50m_height_adjusted,5,16831,349,0.026650219878284087,0.07954451762252365,0.49414681727627247,4
conventional,lidar_rcv_50m,5,16831,349,0.1099399361398253,0.18306834449379172,0.5929271310335207,5
conventional,lidar_rcv_50m_height_adjusted,5,16831,349,0.06082861289845191,0.04885574624459579,0.5492112515310918,3
conventional,lidar_rms_50m,5,16831,349,0.6156844556398857,0.11211535183027636,0.47543057649434795,4
conventional,lidar_rms_50m_height_adjusted,5,16831,349,0.3046463991039577,-0.01716385808788503,0.4151733872934685,2
fused_v1,lidar_canopy_shannon_50m,5,16831,349,0.13687274655402354,0.17419763534049904,0.4534692083308228,5
fused_v1,lidar_canopy_shannon_50m_height_adjusted,5,16831,349,0.0710685854155989,0.071288829194461,0.3522678163861917,5
fused_v1,lidar_height_cv_50m,5,16831,349,0.048102751102240104,0.32690225742883383,0.6871992484886298,5
fused_v1,lidar_height_cv_50m_height_adjusted,5,16831,349,0.025707244991861188,0.1438598876642289,0.5234586711692918,4
fused_v1,lidar_rcv_50m,5,16831,349,0.09987583151468368,0.33432785719425123,0.7083285585075207,5
fused_v1,lidar_rcv_50m_height_adjusted,5,16831,349,0.05811607664706917,0.14418218222060475,0.6024707264638065,4
fused_v1,lidar_rms_50m,5,16831,349,0.5687881080151834,0.24222731537416795,0.6014144929894496,5
fused_v1,lidar_rms_50m_height_adjusted,5,16831,349,0.29061683030495566,0.0724312057160357,0.48146685149685214,4
fused_v2,lidar_canopy_shannon_50m,5,16831,349,0.13345898452850366,0.2148767115603464,0.5159252288792556,5
fused_v2,lidar_canopy_shannon_50m_height_adjusted,5,16831,349,0.06827911786410898,0.14419324438955783,0.4940669412903825,5
fused_v2,lidar_height_cv_50m,5,16831,349,0.047073154826651434,0.3556827273252122,0.7344929377308944,5
fused_v2,lidar_height_cv_50m_height_adjusted,5,16831,349,0.02549978141977144,0.1600262074943382,0.5689660659942773,4
fused_v2,lidar_rcv_50m,5,16831,349,0.09844820913729047,0.3531623457298637,0.7528175074491212,5
fused_v2,lidar_rcv_50m_height_adjusted,5,16831,349,0.05849060570916572,0.1338844918158125,0.6226626481062933,4
fused_v2,lidar_rms_50m,5,16831,349,0.5649249670306306,0.25079040102374217,0.640515882819809,4
fused_v2,lidar_rms_50m_height_adjusted,5,16831,349,0.2896143553215017,0.08044459619273063,0.5341510938038427,4
tessera_v1,lidar_canopy_shannon_50m,5,16831,349,0.1391968517048841,0.1445355351348266,0.4250832087399055,5
tessera_v1,lidar_canopy_shannon_50m_height_adjusted,5,16831,349,0.07180825297511008,0.05181175427317759,0.3402067736477351,3
tessera_v1,lidar_height_cv_50m,5,16831,349,0.0476059268548447,0.339739727299742,0.701993675672309,5
tessera_v1,lidar_height_cv_50m_height_adjusted,5,16831,349,0.025532021520962057,0.1563652785118133,0.5635427778091376,4
tessera_v1,lidar_rcv_50m,5,16831,349,0.0994370906673124,0.3390295676348427,0.7159443743531402,5
tessera_v1,lidar_rcv_50m_height_adjusted,5,16831,349,0.05884974903118005,0.12049669550209248,0.5840648069942075,4
tessera_v1,lidar_rms_50m,5,16831,349,0.5672948091625145,0.24383928321487086,0.5999293223139776,5
tessera_v1,lidar_rms_50m_height_adjusted,5,16831,349,0.28534872267642153,0.10327061948184024,0.5413077141423736,3
tessera_v2,lidar_canopy_shannon_50m,5,16831,349,0.13490254604352767,0.19629827786599435,0.5101635359468378,5
tessera_v2,lidar_canopy_shannon_50m_height_adjusted,5,16831,349,0.06842200407424166,0.1397281580020058,0.4980332681966827,5
tessera_v2,lidar_height_cv_50m,5,16831,349,0.046943215787225004,0.358885254237285,0.7491597924002237,5
tessera_v2,lidar_height_cv_50m_height_adjusted,5,16831,349,0.025639206494134054,0.1512619202891799,0.5709567107174193,4
tessera_v2,lidar_rcv_50m,5,16831,349,0.0982785186525617,0.35625197459763996,0.7583955837605124,5
tessera_v2,lidar_rcv_50m_height_adjusted,5,16831,349,0.058630962654926864,0.13096645030172527,0.5926376798775403,4
tessera_v2,lidar_rms_50m,5,16831,349,0.5641731172279314,0.25292341132923035,0.6580813911683915,4
tessera_v2,lidar_rms_50m_height_adjusted,5,16831,349,0.289663214853507,0.08011226677890822,0.5594699286558875,4
