training_site,evaluation_site,feature_panel,target,model,rows,rmse,mae,r2,bias,block_spearman,evaluation_blocks
cairngorms,cairngorms,context,height_cv,local_cv,16831,0.0537592387798834,0.03898910724152364,0.17891439198852765,0.0011789772405768918,0.5942954765183254,320
cairngorms,cairngorms,context,mean_height_m,local_cv,16831,2.007203345530469,1.5054661376008096,0.24091231885056197,-0.01279103728870361,0.6137432982743972,320
cairngorms,cairngorms,context,p95_height_m,local_cv,16831,2.2842517334630625,1.7164207877293332,0.2756246368644928,-0.01735042421128281,0.6120228224885008,320
cairngorms,cairngorms,context,within_cell_height_sd_m,local_cv,16831,0.604987960712003,0.43633692437774446,0.19713522201204237,0.0035829863489021422,0.6125270998740222,320
cairngorms,cairngorms,mean,height_cv,local_cv,16831,0.053388686242595074,0.03858401573781752,0.19019456537570412,0.0006582271564963505,0.5584829929979785,320
cairngorms,cairngorms,mean,mean_height_m,local_cv,16831,2.003005583199482,1.4970828978467337,0.24408403303801696,-0.01391254689170971,0.5745129346966279,320
cairngorms,cairngorms,mean,p95_height_m,local_cv,16831,2.2641864298868106,1.7094975088911726,0.2882948457314327,-0.023270292614480798,0.5844256291565347,320
cairngorms,cairngorms,mean,within_cell_height_sd_m,local_cv,16831,0.6016311558377395,0.4263786611165079,0.20601997258018478,-0.0011811684400443983,0.5729382122872294,320
cairngorms,savelsbos,context,height_cv,source_mean,589,0.1964597929374981,0.1786366173003088,-4.731977638969062,-0.17850187406871648,,36
cairngorms,savelsbos,context,height_cv,transfer,589,0.18856935384693746,0.1719843907897272,-4.280795496522212,-0.1714296538831314,0.18352638352638354,36
cairngorms,savelsbos,context,mean_height_m,source_mean,589,4.445216770147952,3.5938054648150293,-0.8787018109095173,-3.040078358984245,-0.05739968026673402,36
cairngorms,savelsbos,context,mean_height_m,transfer,589,3.3623456809687506,2.691703928793371,-0.07487184632982147,-0.7961408041805424,0.25148005148005154,36
cairngorms,savelsbos,context,p95_height_m,source_mean,589,8.312330574698812,7.200029119721428,-2.6782404951398404,-7.09296034617054,,36
cairngorms,savelsbos,context,p95_height_m,transfer,589,6.937931643103427,5.760965350835543,-1.5624449360952024,-5.28781202141801,0.2725868725868726,36
cairngorms,savelsbos,context,within_cell_height_sd_m,source_mean,589,3.8130980432560113,3.5113109626848003,-5.495051470741072,-3.507297098335735,0.016890703117345793,36
cairngorms,savelsbos,context,within_cell_height_sd_m,transfer,589,3.2906935771904053,2.9270816412918075,-3.8372834886171265,-2.9270816412918075,0.22779922779922782,36
cairngorms,savelsbos,mean,height_cv,source_mean,589,0.1964597929374981,0.1786366173003088,-4.731977638969062,-0.17850187406871648,,36
cairngorms,savelsbos,mean,height_cv,transfer,589,0.17152579416598887,0.15487307930594074,-3.3693416147112893,-0.15456214405317356,0.3438867438867439,36
cairngorms,savelsbos,mean,mean_height_m,source_mean,589,4.445216770147952,3.5938054648150293,-0.8787018109095173,-3.040078358984245,-0.05739968026673402,36
cairngorms,savelsbos,mean,mean_height_m,transfer,589,3.4342984900912885,2.749559146609341,-0.12136770294933297,-1.1380741127766563,0.47078507078507076,36
cairngorms,savelsbos,mean,p95_height_m,source_mean,589,8.312330574698812,7.200029119721428,-2.6782404951398404,-7.09296034617054,,36
cairngorms,savelsbos,mean,p95_height_m,transfer,589,7.13914826379154,5.915809275702445,-1.7132343785396027,-5.634829619425725,0.43989703989703993,36
cairngorms,savelsbos,mean,within_cell_height_sd_m,source_mean,589,3.8130980432560113,3.5113109626848003,-5.495051470741072,-3.507297098335735,0.016890703117345793,36
cairngorms,savelsbos,mean,within_cell_height_sd_m,transfer,589,3.238506613843404,2.898838621934718,-3.685071568545726,-2.8987087095202844,0.3472329472329473,36
savelsbos,cairngorms,context,height_cv,source_mean,16831,0.19235988323067946,0.18473899245041459,-9.51262634320617,0.18298231155957928,-0.044419020581822316,320
savelsbos,cairngorms,context,height_cv,transfer,16831,0.40954512285588396,0.39861841622128313,-46.65250500019657,0.39861841622128313,-0.31535061377552515,320
savelsbos,cairngorms,context,mean_height_m,source_mean,16831,3.3869993517124266,2.975673101075424,-1.1614212963471746,2.4827917465063716,-0.02814745418748083,320
savelsbos,cairngorms,context,mean_height_m,transfer,16831,3.9038555945050066,2.9477981312562673,-1.8714197834609623,-2.2441402838968694,-0.0310886825066651,320
savelsbos,cairngorms,context,p95_height_m,source_mean,16831,6.940560494403349,6.548101585330215,-5.687515976008798,6.400640606890812,-0.02027060543754636,320
savelsbos,cairngorms,context,p95_height_m,transfer,16831,5.970088987329849,5.127305908451908,-3.9480873054235506,4.378898575114993,0.03809692965751618,320
savelsbos,cairngorms,context,within_cell_height_sd_m,source_mean,16831,3.3732768756295615,3.308824485976537,-23.960479236760815,3.305013817609144,-0.009850821966136644,320
savelsbos,cairngorms,context,within_cell_height_sd_m,transfer,16831,4.399424404943316,4.18516914866458,-41.45615502598116,4.165877646049066,-0.2585950546392055,320
savelsbos,cairngorms,mean,height_cv,source_mean,16831,0.19235988323067946,0.18473899245041459,-9.51262634320617,0.18298231155957928,-0.044419020581822316,320
savelsbos,cairngorms,mean,height_cv,transfer,16831,0.397096389969369,0.38550522688377153,-43.799595890414814,0.38550522688377153,-0.3318602964872704,320
savelsbos,cairngorms,mean,mean_height_m,source_mean,16831,3.3869993517124266,2.975673101075424,-1.1614212963471746,2.4827917465063716,-0.02814745418748083,320
savelsbos,cairngorms,mean,mean_height_m,transfer,16831,5.828840545234439,4.811389858240264,-5.401379119292746,-4.41438533555246,-0.16417030439750388,320
savelsbos,cairngorms,mean,p95_height_m,source_mean,16831,6.940560494403349,6.548101585330215,-5.687515976008798,6.400640606890812,-0.02027060543754636,320
savelsbos,cairngorms,mean,p95_height_m,transfer,16831,4.832372185070591,3.786705645528873,-2.2418767253144143,1.6556274431455094,-0.14365350247561012,320
savelsbos,cairngorms,mean,within_cell_height_sd_m,source_mean,16831,3.3732768756295615,3.308824485976537,-23.960479236760815,3.305013817609144,-0.009850821966136644,320
savelsbos,cairngorms,mean,within_cell_height_sd_m,transfer,16831,3.920050656778952,3.721030033678545,-32.70794678101775,3.6951553545370737,-0.24257060615826329,320
savelsbos,savelsbos,context,height_cv,local_cv,589,0.06531570425983557,0.05230467410488639,0.3664332874665086,0.005163499380273873,0.6427284427284428,36
savelsbos,savelsbos,context,mean_height_m,local_cv,589,2.80820623903016,2.2456298438567828,0.2502267090588619,-0.24668032852405572,0.7232947232947233,36
savelsbos,savelsbos,context,p95_height_m,local_cv,589,3.7360185380833615,3.0338371083271576,0.2569593843140031,-0.22827337998719074,0.5564993564993566,36
savelsbos,savelsbos,context,within_cell_height_sd_m,local_cv,589,1.3384093122870384,1.0670614358659223,0.19978893529201103,-0.03727558161678405,0.5096525096525096,36
savelsbos,savelsbos,mean,height_cv,local_cv,589,0.05626852983868966,0.04486634355032609,0.5297938988449016,0.0015751490821481469,0.6635778635778636,36
savelsbos,savelsbos,mean,mean_height_m,local_cv,589,2.8738083613300365,2.2166121743037874,0.21478683249224906,-0.6661895680053631,0.6092664092664094,36
savelsbos,savelsbos,mean,p95_height_m,local_cv,589,3.7999054778918846,2.939270390409705,0.23132970895056515,-0.8537198755756319,0.5320463320463321,36
savelsbos,savelsbos,mean,within_cell_height_sd_m,local_cv,589,1.314534295787333,1.0206617266494653,0.22808319605998373,-0.24624483776001013,0.5922779922779924,36
