site_name,reconstructed_units,frozen_units,difference
Veluwe,5000,5000,0
Sallandse Heuvelrug,1166,1166,0
Schoorlse Duinen,878,877,1
Drents-Friese Wold & Leggelderveld,5000,5000,0
Brabantse Wal,5000,5000,0
Maasduinen,3220,3220,0
Vecht- en Beneden-Reggegebied,3102,3101,1
Loonse en Drunense Duinen & Leemkuilen,3048,3048,0
"Leenderbos, Groote Heide & De Plateaux",1931,1931,0
Meinweg,1402,1402,0
Savelsbos,615,615,0
Landgoederen Oldenzaal,627,627,0
Drentsche Aa-gebied,516,514,2
Kennemerland-Zuid,1189,1189,0
Noordhollands Duinreservaat,1072,1071,1
Springendal & Dal van de Mosbeek,597,596,1
Voornes Duin,470,470,0
Rijntakken,405,405,0
Geleenbeekdal,396,396,0
Geuldal,2725,2727,-2
