site_code,site_name,forest_group,candidate_units_before_maturity,mature_units_before_cap,retained_units,sampling_blocks,tessera_year_counts,mean_tree_fraction,mean_group_fraction,centroid_x,centroid_y,fold_seed_offset,selection_order,selection_reason
veluwe,Veluwe,conifer,120962,85669,5000,1058,"{'2020': 712, '2022': 4288}",0.9968559741973877,0.979193925857544,185885.94999999995,467609.19,0,0,fixed_anchor
sallandse_heuvelrug,Sallandse Heuvelrug,conifer,2309,1166,1166,30,{'2021': 1166},0.997735857963562,0.9896469712257385,223607.5845111492,483213.11528301885,100,1,fixed_anchor
schoorlse_duinen,Schoorlse Duinen,conifer,2131,877,877,20,{'2020': 877},0.9965335726737976,0.9895247220993042,106757.95396807294,522714.6282668187,200,2,fixed_anchor
drents_friese_wold_and_leggelderveld,Drents-Friese Wold & Leggelderveld,conifer,6993,5344,5000,100,"{'2020': 521, '2022': 4479}",0.9984080195426941,0.9829117059707642,216885.1,545553.94,69692,3,eligible_area_and_separation
brabantse_wal,Brabantse Wal,conifer,6640,5332,5000,87,{'2020': 5000},0.9955999851226807,0.9861295819282532,83684.42,381369.1400000001,9622,4,eligible_area_and_separation
maasduinen,Maasduinen,conifer,5000,3220,3220,85,{'2021': 3220},0.9980000257492065,0.9813843369483948,205521.13409937886,396466.4010559007,5880,5,eligible_area_and_separation
vecht_en_beneden_reggegebied,Vecht- en Beneden-Reggegebied,conifer,4296,3101,3101,58,{'2021': 3101},0.9972008466720581,0.9914708733558655,228503.14614317965,501725.59041277005,41555,6,eligible_area_and_separation
loonse_en_drunense_duinen_and_leemkuilen,Loonse en Drunense Duinen & Leemkuilen,conifer,4049,3048,3048,53,{'2020': 3048},0.9969947934150696,0.9877074360847473,137152.7050918635,407114.95595800533,86373,7,eligible_area_and_separation
leenderbos_groote_heide_and_de_plateaux,"Leenderbos, Groote Heide & De Plateaux",conifer,3401,1931,1931,61,{'2021': 1931},0.9962713122367859,0.992476761341095,163411.67472294148,371291.3920093216,81536,8,eligible_area_and_separation
meinweg,Meinweg,conifer,1727,1402,1402,29,{'2021': 1402},0.997546374797821,0.9838974475860596,206298.21710413694,352414.6474607704,2988,9,eligible_area_and_separation
savelsbos,Savelsbos,broadleaf,730,615,615,17,{'2021': 615},0.9900487661361694,0.9976585507392883,180544.66967479672,313043.3415447155,300,10,fixed_anchor
landgoederen_oldenzaal,Landgoederen Oldenzaal,broadleaf,733,627,627,19,{'2022': 627},0.9839872717857361,0.9804810285568237,262726.2011642743,481437.259154705,400,11,fixed_anchor
drentsche_aa,Drentsche Aa-gebied,broadleaf,1112,514,514,58,{'2022': 514},0.9792218208312988,0.9915207028388977,239808.92151750973,561729.8816731516,500,12,fixed_anchor
kennemerland_zuid,Kennemerland-Zuid,broadleaf,4362,1189,1189,63,{'2020': 1189},0.9878216981887817,0.9885467290878296,100885.60883936081,488475.94317073177,16287,13,eligible_area_and_separation
noordhollands_duinreservaat,Noordhollands Duinreservaat,broadleaf,3818,1071,1071,50,{'2020': 1071},0.9916713833808899,0.9882226586341858,104643.28710550886,508943.13704014936,40556,14,eligible_area_and_separation
springendal_and_dal_van_de_mosbeek,Springendal & Dal van de Mosbeek,broadleaf,749,596,596,24,"{'2021': 592, '2022': 4}",0.9834228157997131,0.9719929695129395,255409.05241610738,495366.5042281879,61348,15,eligible_area_and_separation
voornes_duin,Voornes Duin,broadleaf,2550,470,470,20,"{'2019': 17, '2020': 453}",0.9854468107223511,0.9932721257209778,64100.4878723404,434730.5721276596,1200,16,eligible_area_and_separation
rijntakken,Rijntakken,broadleaf,2302,405,405,112,"{'2019': 3, '2020': 55, '2021': 113, '2022': 234}",0.9736296534538269,0.9855236411094666,189145.83197530865,452858.3761728395,5858,17,eligible_area_and_separation
geleenbeekdal,Geleenbeekdal,broadleaf,498,396,396,27,"{'2020': 189, '2021': 207}",0.9707071185112,0.9942992925643921,191967.9475757576,324029.45080808084,0,18,eligible_area_and_separation
geuldal,Geuldal,broadleaf,3254,2727,2727,84,"{'2020': 526, '2021': 2201}",0.9846278429031372,0.9874104857444763,189945.4628272827,313642.2216685003,2926,19,distance_relaxed_to_reach_target
