target_site,target,candidate,reference,delta_rmse,ci_low,ci_high,blocks
brabantse_wal,ahn4_entropy,same_group,different_group,-0.04364514568987554,-0.054211126995885595,-0.032938189545942666,259
brabantse_wal,ahn4_height_cv,same_group,different_group,-0.047068670071017144,-0.05337153168557819,-0.04086810352694672,259
brabantse_wal,ahn4_height_sd_m,same_group,different_group,-0.5514776231483212,-0.6109766183629499,-0.4915851301612447,259
brabantse_wal,ahn4_p95_height_m,same_group,different_group,-1.0874383087012207,-1.2392173091597993,-0.9274298937464336,259
brabantse_wal,ahn4_pulse_penetration,same_group,different_group,-0.016300631999397616,-0.018756802349863808,-0.013833166406950481,259
brabantse_wal,ahn4_sigma_z,same_group,different_group,-0.3607335849488478,-0.4157132351882277,-0.3038423783731722,259
drents_friese_wold_and_leggelderveld,ahn4_entropy,same_group,different_group,-0.09896398004399187,-0.11902030136228534,-0.07895413249160196,276
drents_friese_wold_and_leggelderveld,ahn4_height_cv,same_group,different_group,-0.043695550141438416,-0.051726473117306326,-0.0358538336965312,276
drents_friese_wold_and_leggelderveld,ahn4_height_sd_m,same_group,different_group,-0.8223841709115203,-0.9474853317753154,-0.6882314224981883,276
drents_friese_wold_and_leggelderveld,ahn4_p95_height_m,same_group,different_group,-2.8169650465289493,-3.165631878714747,-2.454021572022772,276
drents_friese_wold_and_leggelderveld,ahn4_pulse_penetration,same_group,different_group,-0.007143595750683927,-0.009972797320600774,-0.004322591403743695,276
drents_friese_wold_and_leggelderveld,ahn4_sigma_z,same_group,different_group,-0.8482391655476373,-0.9524278912769242,-0.731374878034863,276
drentsche_aa,ahn4_entropy,same_group,different_group,-0.001813858570711785,-0.02089429534405334,0.017423868290799806,98
drentsche_aa,ahn4_height_cv,same_group,different_group,-0.010064378251452816,-0.02220897990456086,0.0007176532018123771,98
drentsche_aa,ahn4_height_sd_m,same_group,different_group,0.23836080509322222,0.10526969252092447,0.3802944274621379,98
drentsche_aa,ahn4_p95_height_m,same_group,different_group,1.0334419063089029,0.7038197658079686,1.3746798189365843,98
drentsche_aa,ahn4_pulse_penetration,same_group,different_group,0.01757835890724658,0.011991481580619386,0.022779708021666963,98
drentsche_aa,ahn4_sigma_z,same_group,different_group,0.18565779299954244,0.019669769561119894,0.3597978478134277,98
geleenbeekdal,ahn4_entropy,same_group,different_group,-0.15437412547565682,-0.19797470619800803,-0.10936942283676407,45
geleenbeekdal,ahn4_height_cv,same_group,different_group,-0.057264249492257266,-0.06896116852963663,-0.0445073873148097,45
geleenbeekdal,ahn4_height_sd_m,same_group,different_group,-0.974975982640025,-1.1291441760454168,-0.8052158434961877,45
geleenbeekdal,ahn4_p95_height_m,same_group,different_group,-2.1116979211179183,-2.600266683566376,-1.6055579759077223,45
geleenbeekdal,ahn4_pulse_penetration,same_group,different_group,0.0051826826573550255,-0.0066497587860912975,0.016140723340759597,45
geleenbeekdal,ahn4_sigma_z,same_group,different_group,-1.2271305921363675,-1.4040400777329696,-1.058611856417026,45
geuldal,ahn4_entropy,same_group,different_group,-0.23467824044792,-0.26093333810386243,-0.2071294394850793,206
geuldal,ahn4_height_cv,same_group,different_group,-0.02519943002246973,-0.032009843625725336,-0.017821980745981965,206
geuldal,ahn4_height_sd_m,same_group,different_group,-0.7815485407296843,-0.9368885993157063,-0.6128924912216908,206
geuldal,ahn4_p95_height_m,same_group,different_group,-1.7943799483164913,-2.162896561705566,-1.4294226277201472,206
geuldal,ahn4_pulse_penetration,same_group,different_group,-0.026519027325906074,-0.031111861421439794,-0.022078764524565263,206
geuldal,ahn4_sigma_z,same_group,different_group,-1.098661946556797,-1.255848195638848,-0.932372561144325,206
kennemerland_zuid,ahn4_entropy,same_group,different_group,-0.15302598785615906,-0.17573789804634424,-0.1309920391162795,141
kennemerland_zuid,ahn4_height_cv,same_group,different_group,-0.009335637566789554,-0.015964958128226923,-0.0025461457646638102,141
kennemerland_zuid,ahn4_height_sd_m,same_group,different_group,-0.25165455170089057,-0.3722098423628214,-0.13729489224515806,141
kennemerland_zuid,ahn4_p95_height_m,same_group,different_group,-0.07159988501933734,-0.4415697383963219,0.2894086910319409,141
kennemerland_zuid,ahn4_pulse_penetration,same_group,different_group,0.008773468543369897,0.0025413809535525366,0.014541500883748783,141
kennemerland_zuid,ahn4_sigma_z,same_group,different_group,-0.28271287623997965,-0.3918438163997151,-0.17674914244049558,141
landgoederen_oldenzaal,ahn4_entropy,same_group,different_group,0.14007692849028947,0.11791846347281815,0.16417298987524998,42
landgoederen_oldenzaal,ahn4_height_cv,same_group,different_group,0.062100876218583845,0.04864615954328114,0.0788074263627563,42
landgoederen_oldenzaal,ahn4_height_sd_m,same_group,different_group,0.8450716013916404,0.663137321231375,1.0296889915480005,42
landgoederen_oldenzaal,ahn4_p95_height_m,same_group,different_group,0.14164292761431518,-0.23417350807157408,0.5764263403867556,42
landgoederen_oldenzaal,ahn4_pulse_penetration,same_group,different_group,-0.031055964175583463,-0.037027732774999475,-0.02515420202276735,42
landgoederen_oldenzaal,ahn4_sigma_z,same_group,different_group,0.6732936638788813,0.5162898251318468,0.8426652973296399,42
leenderbos_groote_heide_and_de_plateaux,ahn4_entropy,same_group,different_group,-0.07992105334093838,-0.09354965415300791,-0.06564515984277348,144
leenderbos_groote_heide_and_de_plateaux,ahn4_height_cv,same_group,different_group,-0.026157642538161816,-0.03303959818062608,-0.018823198073165914,144
leenderbos_groote_heide_and_de_plateaux,ahn4_height_sd_m,same_group,different_group,-1.303686446432706,-1.4527227957675892,-1.1482100014072183,144
leenderbos_groote_heide_and_de_plateaux,ahn4_p95_height_m,same_group,different_group,-4.3137991720486815,-4.677631130157366,-3.9179429046024095,144
leenderbos_groote_heide_and_de_plateaux,ahn4_pulse_penetration,same_group,different_group,-0.021347006259492665,-0.02582649872650118,-0.01695176697027127,144
leenderbos_groote_heide_and_de_plateaux,ahn4_sigma_z,same_group,different_group,-1.0400723480168952,-1.1604624972900572,-0.9075540185210333,144
loonse_en_drunense_duinen_and_leemkuilen,ahn4_entropy,same_group,different_group,-0.06720366668398167,-0.08451906540486046,-0.051622915668158874,148
loonse_en_drunense_duinen_and_leemkuilen,ahn4_height_cv,same_group,different_group,-0.018478286426552637,-0.02438054673128275,-0.0130329262621776,148
loonse_en_drunense_duinen_and_leemkuilen,ahn4_height_sd_m,same_group,different_group,-0.23852374599997983,-0.3157042189298169,-0.16365734046070698,148
loonse_en_drunense_duinen_and_leemkuilen,ahn4_p95_height_m,same_group,different_group,-0.7212820519969927,-0.9395809608308131,-0.49896199897861193,148
loonse_en_drunense_duinen_and_leemkuilen,ahn4_pulse_penetration,same_group,different_group,0.003028041388514889,-0.0002445287746843246,0.006232195488611029,148
loonse_en_drunense_duinen_and_leemkuilen,ahn4_sigma_z,same_group,different_group,-0.3732250726056412,-0.4717394312060761,-0.27637194211923594,148
maasduinen,ahn4_entropy,same_group,different_group,-0.043896250750327465,-0.05619855945041905,-0.03107723183516522,214
maasduinen,ahn4_height_cv,same_group,different_group,-0.018953073428273404,-0.023927276127829352,-0.013859989017323885,214
maasduinen,ahn4_height_sd_m,same_group,different_group,-0.5044802678908534,-0.612250371343795,-0.3982340487181704,214
maasduinen,ahn4_p95_height_m,same_group,different_group,-2.189055014544331,-2.4678061477820683,-1.9048181623309064,214
maasduinen,ahn4_pulse_penetration,same_group,different_group,-0.00023670947637574602,-0.002392805504685366,0.001841733756656592,214
maasduinen,ahn4_sigma_z,same_group,different_group,-0.2782766739582506,-0.37212063896118913,-0.19061850555700507,214
meinweg,ahn4_entropy,same_group,different_group,-0.05319660547046812,-0.07693575622087122,-0.030505108109583637,77
meinweg,ahn4_height_cv,same_group,different_group,-0.017365379705249373,-0.02784564087800442,-0.004616924185993182,77
meinweg,ahn4_height_sd_m,same_group,different_group,-1.1927842936665758,-1.3628951603160964,-1.0143588836351607,77
meinweg,ahn4_p95_height_m,same_group,different_group,-4.088417569989706,-4.542964238884216,-3.6206526266155654,77
meinweg,ahn4_pulse_penetration,same_group,different_group,-0.014198713823388949,-0.018605844467448247,-0.009599576162033522,77
meinweg,ahn4_sigma_z,same_group,different_group,-1.0191189591768373,-1.1502975971676939,-0.879194086751272,77
noordhollands_duinreservaat,ahn4_entropy,same_group,different_group,-0.039649762372460845,-0.05877890721895039,-0.021089150629699557,110
noordhollands_duinreservaat,ahn4_height_cv,same_group,different_group,0.0025754738418550527,-0.007562202105307688,0.012821176961214476,110
noordhollands_duinreservaat,ahn4_height_sd_m,same_group,different_group,0.541636319685398,0.40799615870441064,0.669157565919473,110
noordhollands_duinreservaat,ahn4_p95_height_m,same_group,different_group,1.5288081959526965,1.2203478631139373,1.8457783255490945,110
noordhollands_duinreservaat,ahn4_pulse_penetration,same_group,different_group,0.021617583979415995,0.01476360048345017,0.028565555353856745,110
noordhollands_duinreservaat,ahn4_sigma_z,same_group,different_group,0.5317152699427119,0.3983979595434853,0.6603803822182214,110
rijntakken,ahn4_entropy,same_group,different_group,-0.17550688074778314,-0.2245191446216021,-0.1255041956466561,144
rijntakken,ahn4_height_cv,same_group,different_group,-0.1011144195190243,-0.1121259038714032,-0.08974210078799218,144
rijntakken,ahn4_height_sd_m,same_group,different_group,-1.4655356402700481,-1.6911792480784853,-1.2148656129198074,144
rijntakken,ahn4_p95_height_m,same_group,different_group,-2.8426270799104367,-3.5679418944445067,-2.127949277764821,144
rijntakken,ahn4_pulse_penetration,same_group,different_group,-0.000999937649065849,-0.007548375656094248,0.005273301646663434,144
rijntakken,ahn4_sigma_z,same_group,different_group,-1.5611717578262134,-1.7962962114469625,-1.3093872225396281,144
sallandse_heuvelrug,ahn4_entropy,same_group,different_group,-0.06015280542525331,-0.0976537516812207,-0.023909119689536056,69
sallandse_heuvelrug,ahn4_height_cv,same_group,different_group,-0.045720445172949487,-0.06445877513312974,-0.02612488330065164,69
sallandse_heuvelrug,ahn4_height_sd_m,same_group,different_group,-0.8348337976739744,-1.1557285671498954,-0.5071283951360304,69
sallandse_heuvelrug,ahn4_p95_height_m,same_group,different_group,-2.105587690337294,-2.790411276628806,-1.4122848407958442,69
sallandse_heuvelrug,ahn4_pulse_penetration,same_group,different_group,-0.011220906068234254,-0.017121147181769922,-0.005058878399845211,69
sallandse_heuvelrug,ahn4_sigma_z,same_group,different_group,-0.514971657859438,-0.7484113583643288,-0.26282256311120067,69
savelsbos,ahn4_entropy,same_group,different_group,-0.3411786190456301,-0.40685454898529866,-0.2695376075016552,36
savelsbos,ahn4_height_cv,same_group,different_group,-0.030568357132964713,-0.04862137225779895,-0.011655541684867958,36
savelsbos,ahn4_height_sd_m,same_group,different_group,-1.0446348029303871,-1.4016175990869628,-0.6451235954628102,36
savelsbos,ahn4_p95_height_m,same_group,different_group,-2.5356995278802,-3.523246925440408,-1.4077465995541758,36
savelsbos,ahn4_pulse_penetration,same_group,different_group,-0.06757710192162628,-0.07494376186311415,-0.05982461212478932,36
savelsbos,ahn4_sigma_z,same_group,different_group,-1.3686237434631618,-1.7161751082007177,-0.9830884919124275,36
schoorlse_duinen,ahn4_entropy,same_group,different_group,0.06977345908658966,0.03290810768662892,0.10514135364946277,50
schoorlse_duinen,ahn4_height_cv,same_group,different_group,-0.05191682342107157,-0.06350949031123351,-0.040775838797692296,50
schoorlse_duinen,ahn4_height_sd_m,same_group,different_group,-0.37687142521591344,-0.4878307401805321,-0.2640853532476675,50
schoorlse_duinen,ahn4_p95_height_m,same_group,different_group,-0.6505092887871897,-1.0229790529379932,-0.29288090887264234,50
schoorlse_duinen,ahn4_pulse_penetration,same_group,different_group,0.02123685114077399,0.013916325290763863,0.02817728786532401,50
schoorlse_duinen,ahn4_sigma_z,same_group,different_group,-0.3221371153946092,-0.4450577158351898,-0.2062078791589716,50
springendal_and_dal_van_de_mosbeek,ahn4_entropy,same_group,different_group,-0.039448271354112996,-0.06796729618714512,-0.012084114513624318,67
springendal_and_dal_van_de_mosbeek,ahn4_height_cv,same_group,different_group,0.005033108616018231,-0.008500885100875114,0.01831849060036803,67
springendal_and_dal_van_de_mosbeek,ahn4_height_sd_m,same_group,different_group,0.42283779487616524,0.2015887141574182,0.6321305410519908,67
springendal_and_dal_van_de_mosbeek,ahn4_p95_height_m,same_group,different_group,0.8971800611993648,0.17782831976981164,1.6054835401757535,67
springendal_and_dal_van_de_mosbeek,ahn4_pulse_penetration,same_group,different_group,-0.007980552640779882,-0.01231323321198604,-0.0034957055933968113,67
springendal_and_dal_van_de_mosbeek,ahn4_sigma_z,same_group,different_group,0.27972189842960526,0.06428618389596127,0.5089178127792359,67
vecht_en_beneden_reggegebied,ahn4_entropy,same_group,different_group,-0.14372505635730592,-0.16360673133464632,-0.12092167069414958,160
vecht_en_beneden_reggegebied,ahn4_height_cv,same_group,different_group,-0.053332497471293164,-0.06208095022476615,-0.04455486911398906,160
