target,fold,rows,blocks,model_rmse,rms_jackknife_se,rms_jackknife_se_to_model_rmse,observed_variance,mean_reference_variance,approximate_reliability,observed_r2,optimistic_error_adjusted_r2,diagnostic_reduced_chi2
canopy_height_kurtosis,0,2648,57,1.5491740066363215,1.0614632811612894,0.6851801518836578,8.075962071774685,1.1267042972536907,0.8604866779660224,0.7028292008421667,0.8167810366378723,6.811933680077549
canopy_height_kurtosis,1,5018,68,1.7676266657019177,1.1672560487501178,0.6603521384910794,7.10738859385254,1.3624866833437375,0.8082999592111503,0.5603864924449204,0.6932902644110268,7.78645483491016
canopy_height_kurtosis,2,2927,59,1.4613161022263748,0.9246409621687794,0.6327453456237505,4.647882247157633,0.8549609089204062,0.8160536641298843,0.5405553245390425,0.6624016879029746,3.794859641641214
canopy_height_kurtosis,3,3191,63,1.688316888893512,1.130984042748668,0.6698884849098983,7.282555685083999,1.2791249049521205,0.8243576897637732,0.6085970309624635,0.7382681553402652,20.821690534919394
canopy_height_kurtosis,4,3532,103,1.184722341837697,0.7375210464305461,0.6225264945088576,3.862575153844142,0.5439372939280076,0.8591775506590037,0.6366240211915286,0.7409691055163479,9.094960028402348
canopy_mean_height_m,0,2648,57,1.5488890194326363,0.7427227184194959,0.47951964866505276,6.9851358417912035,0.5516370364564458,0.9210270137974884,0.6565482405988826,0.7128436308201941,11.311561923327817
canopy_mean_height_m,1,5018,68,2.0899862785527046,0.7038652896464954,0.3367798616046012,10.653754961868776,0.4954263459691449,0.9534974900640814,0.5899997080679633,0.6187742644485738,20.922885406334288
canopy_mean_height_m,2,2927,59,1.956111643744151,0.766503753408969,0.39185071867463594,8.961278546534881,0.5875280039900376,0.9344370336287313,0.5730103976880605,0.6132145634927049,14.625296595825471
canopy_mean_height_m,3,3191,63,2.2875524197787196,0.7506558747701155,0.32814805391114416,8.68329144246137,0.5634842423268873,0.9351070678600693,0.39736030882868123,0.42493562767952764,27.970774150274025
canopy_mean_height_m,4,3532,103,1.939243327498358,0.8407802515703681,0.4335609872408237,8.440846584789936,0.7069114314307313,0.9162511219307602,0.554468305344695,0.6051488419204308,12.099742878406545
canopy_open_fraction,0,2648,57,0.05160394594030494,0.0406820446608378,0.7883514316501782,0.015356411428287541,0.0016550287577864016,0.8922255524661362,0.8265892230717035,0.9264352727704198,6.269543905209925
canopy_open_fraction,1,5018,68,0.046096601048271464,0.035557983017753376,0.7713797158388696,0.01053767390980002,0.0012643701562908376,0.8800143022916115,0.7983524023999877,0.9072038946651536,17.55580122900698
canopy_open_fraction,2,2927,59,0.053792979544084525,0.039273085784327304,0.7300782763323632,0.012521565756842101,0.0015423752670231312,0.8768224919331404,0.7689039290753943,0.8769208547333032,7.050631222584611
canopy_open_fraction,3,3191,63,0.05474786300614739,0.039387122624562065,0.719427580582268,0.013553536819055774,0.0015513454286422892,0.8855394389410479,0.7788526682182508,0.8795234113453196,17.697410828746627
canopy_open_fraction,4,3532,103,0.05599520297835744,0.044117804078510986,0.7878854211058551,0.01301521273358968,0.0019463806367098803,0.8504534135130455,0.7590924696531895,0.8925738407204893,5.704546542369652
canopy_p95_height_m,0,2648,57,1.825463647531206,0.4423687301798502,0.24233225941153008,4.3992380275800205,0.19569009344093308,0.9555172754431339,0.2425239308337649,0.25381428161127817,57.69701038738219
canopy_p95_height_m,1,5018,68,2.463653372713904,0.4123604505452942,0.1673776250800442,10.88745656496415,0.17004114117391803,0.9843819224297885,0.4425155310913904,0.4495364258611251,88.0075647651209
canopy_p95_height_m,2,2927,59,2.646481268738965,0.46366649617201205,0.17520112522577833,10.050208093123729,0.2149866196724305,0.9786087394728152,0.3031126280282507,0.3097383211512499,122.36882680756163
canopy_p95_height_m,3,3191,63,2.6369998465213973,0.41556467174613054,0.15758994915920205,6.98781814924012,0.17269399640346925,0.9752864209234969,0.0048727597025332026,0.0049962345399202635,105.47262682180056
canopy_p95_height_m,4,3532,103,2.4112856436802734,0.5126445267122914,0.21260215605557928,9.45852581127186,0.26280441076806926,0.9722150770625502,0.3852849195072653,0.39629597256541715,68.90741711449724
canopy_rumple,0,2648,57,0.36627078523763357,0.1716775557344806,0.46871757905315203,0.6378991841010783,0.029473183142965688,0.9537964871604295,0.7896935887954745,0.8279476800616977,5.973325593765274
canopy_rumple,1,5018,68,0.5208948095833567,0.17936542276204556,0.3443409676236032,0.8051454304003297,0.03217195488260734,0.9600420574123969,0.6630032384137465,0.690598118379043,9.064274053780462
canopy_rumple,2,2927,59,0.4923502945853574,0.1629201770536446,0.3309029746612644,0.3423378521771707,0.0265429840911909,0.9224655295276724,0.2919018126782137,0.31643655327443565,13.876673481674862
canopy_rumple,3,3191,63,0.4774586025379535,0.16790356746790988,0.3516609954777454,0.6438901840914665,0.02819160796845097,0.9562167452385851,0.6459540419005485,0.6755309872129218,10.71350878665055
canopy_rumple,4,3532,103,0.41497710637150226,0.16422147442779267,0.3957362271468918,0.37359984559332116,0.026968692663238165,0.9278139619666902,0.5390629818409549,0.5810033087864959,8.354727662700615
canopy_surface_cv,0,2648,57,0.08666807944129694,0.06865835399985037,0.7921988630930131,0.0494280868606553,0.00471396957396877,0.9046297384064629,0.8480346606329612,0.9374384067085878,3.19996123080684
canopy_surface_cv,1,5018,68,0.08261585126681757,0.06079792226268695,0.7359111033829686,0.03610706579437987,0.0036963873514597257,0.8976270358685564,0.810968331810465,0.9034580058362,5.466529622522092
canopy_surface_cv,2,2927,59,0.09381045781808015,0.06635857578062584,0.7073686380393777,0.03952218884366967,0.0044034605796330634,0.888582573271663,0.7773300959911948,0.8747978177527737,4.413971309630058
canopy_surface_cv,3,3191,63,0.10413594646359399,0.06665089043742498,0.6400373041284663,0.048921536977813984,0.004442341196101629,0.9091945701109874,0.7783328976195817,0.8560685723459269,5.106607205536776
