cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_entropy,0,source_mean,20,100,0.3523427801931761,0.3524530742331253,-0.5011221510984967,-1.0870434273424252,,,,,0.25624253429080945,-1.0742347864923785e-05
all_site_folds_to_100,ahn4_entropy,0,source_ridge,20,100,0.21826516907497256,0.23095518128561668,0.21846065892892136,0.00426014272175052,0.6012233790702971,0.5796142472987015,0.6650605171465249,0.5898904129829509,0.19787003795368516,-0.007589377234224665
all_site_folds_to_100,ahn4_entropy,2,source_offset,20,100,0.23038644150391713,0.24521956588093824,0.151456952935977,-0.05020646429727181,0.6012233790702971,0.5796142472987016,0.6650605171465249,0.5898904129829508,0.19787003795368516,-0.00655446490115747
all_site_folds_to_100,ahn4_entropy,2,source_plus_target_ridge,20,100,0.21663598488234814,0.22956419750217125,0.2262695405090299,0.01921804309458803,0.6068063761157312,0.5808542241639976,0.661672473867596,0.5902607254970719,0.19691348521008184,-0.007235669961169492
all_site_folds_to_100,ahn4_entropy,2,target_only_ridge,20,100,0.4033003394006126,1.2590191738338474,-1.34716117389323,-784.1068209716224,0.02105091696980585,0.03132455850779793,0.02654169360051705,0.03340624299317554,0.3320947853482977,0.07141920177936635
all_site_folds_to_100,ahn4_entropy,2,target_reference_mean,20,100,0.3039161015247581,0.31805036576608237,-0.2588402862215696,-0.5928932980758472,,,,,0.25624253429080945,-0.002400186892914398
all_site_folds_to_100,ahn4_entropy,5,source_offset,20,100,0.2174518383652608,0.2225422788729261,0.24025538815296005,0.1658572108587802,0.6012233790702971,0.5796142472987016,0.6650605171465249,0.5898904129829508,0.19787003795368516,-0.007288228450289707
all_site_folds_to_100,ahn4_entropy,5,source_plus_target_ridge,20,100,0.21661870654589582,0.22912814065792705,0.2265925789145245,0.024404833614145967,0.6068539389342722,0.5812756595409212,0.6658536585365855,0.5904630532567213,0.19688357954932426,-0.007212658497901125
all_site_folds_to_100,ahn4_entropy,5,target_only_ridge,20,100,0.26305850308852896,0.27247108396869923,-0.0625029047680465,-0.15535515585529186,0.30050290173648486,0.2876702775337052,0.3496021220159151,0.3087507392512353,0.23985861635045747,-0.010072114429516318
all_site_folds_to_100,ahn4_entropy,5,target_reference_mean,20,100,0.2783707392650481,0.28971246339023377,-0.1282911716913293,-0.2630608033498411,,,,,0.25624253429080945,-0.011561794516014683
all_site_folds_to_100,ahn4_entropy,10,source_offset,20,100,0.2085295608219131,0.2131952591434339,0.29369719984070425,0.24151759514662083,0.6012233790702971,0.5796142472987016,0.6650605171465249,0.5898904129829508,0.19787003795368516,-0.0038197704457362124
all_site_folds_to_100,ahn4_entropy,10,source_plus_target_ridge,20,100,0.216462885538667,0.228471618318591,0.22798548609751565,0.032586901079239255,0.6061651301090243,0.5817620266654429,0.6662601626016262,0.5909304812203087,0.19686708998395874,-0.007108229233205437
all_site_folds_to_100,ahn4_entropy,10,target_only_ridge,20,100,0.24343243475303306,0.2488774034053749,0.061428624426916045,0.02092206471049668,0.3934112914538196,0.38299908641058134,0.4547702364462589,0.41661186693493935,0.23143142386733975,-0.008382068564682574
all_site_folds_to_100,ahn4_entropy,10,target_reference_mean,20,100,0.2706949348139036,0.279581116877702,-0.0645838551884865,-0.16483890106727472,,,,,0.25624253429080945,-0.008907642241882917
all_site_folds_to_100,ahn4_entropy,25,source_offset,20,100,0.2063619167102046,0.20897598385547594,0.30806236705806356,0.2705657064128896,0.6012233790702971,0.5796142472987016,0.6650605171465249,0.5898904129829508,0.19787003795368516,-0.003456050875510584
all_site_folds_to_100,ahn4_entropy,25,source_plus_target_ridge,20,100,0.21627064976526406,0.2265339687536005,0.23939535904842005,0.05596274260994889,0.6060355587553878,0.5831507307472363,0.6641114982578399,0.5909674176264875,0.1968465993910842,-0.006858232352205204
all_site_folds_to_100,ahn4_entropy,25,target_only_ridge,20,100,0.22099653448703216,0.22223380951357735,0.2192601986883313,0.20204924012374054,0.5269907845093089,0.5018703058045297,0.6025105444476642,0.5453060156799875,0.2116602679905774,-0.0031606110195537772
all_site_folds_to_100,ahn4_entropy,25,target_reference_mean,20,100,0.2628969609947249,0.2730907584590835,-0.03993545680798425,-0.10477507282380008,,,,,0.25624253429080945,-0.005462491432594879
all_site_folds_to_100,ahn4_entropy,50,source_offset,20,100,0.2046637674915131,0.2075627621101161,0.31433103377377114,0.279832645554414,0.6012233790702971,0.5796142472987016,0.6650605171465249,0.5898904129829508,0.19787003795368516,-0.0033334601694480987
all_site_folds_to_100,ahn4_entropy,50,source_plus_target_ridge,20,100,0.21572231142528095,0.22383346853103592,0.24977949545441705,0.08750274475741027,0.6065968325475961,0.5851215006715679,0.6676691729323309,0.592642620778446,0.1967576106505099,-0.006512100528344173
all_site_folds_to_100,ahn4_entropy,50,target_only_ridge,20,100,0.2073159855342595,0.20647127890512365,0.33136277349364807,0.3053974159100553,0.6007629808374113,0.5688299153807871,0.6733076131030096,0.6074862371389704,0.199081756793557,-0.0046936509913381415
all_site_folds_to_100,ahn4_entropy,50,target_reference_mean,20,100,0.2640487263991651,0.2714562075181135,-0.03379261697306585,-0.0918566633521097,,,,,0.25624253429080945,-0.004970917631554233
